,carat,cut,color,clarity,depth,table,price,lwd
91,0.23,Premium,J,VVS1,62.4,57,"Rs. 26,321",3.91x3.88x2.43
92,0.23,Premium,J,VVS1,62.6,57,"Rs. 26,321",3.93x3.9x2.45
93,0.23,Premium,I,VVS1,62.4,56,"Rs. 26,321",3.96x3.93x2.46
94,0.23,Premium,J,VVS2,62.9,56,"Rs. 26,321",3.91x3.88x2.45
95,0.23,Premium,I,VVS1,62.5,55,"Rs. 26,321",3.96x3.94x2.47
96,0.2,Premium,F,VVS2,62.7,56,"Rs. 26,324",3.71x3.73x2.33
97,0.23,Very Good,G,VVS2,61.1,60,"Rs. 26,345",3.89 x3.88 x2.37
98,0.21,Premium,H,VVS1,59.9,60,"Rs. 26,349",3.86x3.88x2.32
99,0.2,Premium,G,VS2,62.1,56,"Rs. 26,367",3.75 x 3.77 x 2.34
100,0.2,Premium,G,VS1,61.6,58,"Rs. 26,367",3.73x3.75x2.30
101,0.23,Premium,I,VS1,59.1,59,"Rs. 26,370",4.01x4.03x2.38
102,0.2,Premium,G,VVS2,62.6,59,"Rs. 26,451",3.76x3.74x2.35
103,0.2,Premium,G,VVS2,60.7,59,"Rs. 26,451",3.75x3.77x2.28
104,0.2,Premium,G,VVS1,61.8,57,"Rs. 26,451",3.79x3.82x2.35
105,0.2,Premium,E,VS1,62.7,58,"Rs. 26,451",3.75x3.77x2.36
106,0.2,Premium,E,VS1,61.1,57,"Rs. 26,451",3.80x3.81x2.33
107,0.2,Premium,G,VVS2,60.7,59,"Rs. 26,451",3.79x3.81x2.31
108,0.21,Premium,F,VS1,59.2,59,"Rs. 26,504",3.89x3.91x2.31
109,0.21,Premium,E,VS2,59.8,59,"Rs. 26,504",3.83x3.85x2.30
110,0.23,Premium,I,VS1,61.4,60,"Rs. 26,614",3.98x3.95x2.43
111,0.23,Premium,G,VVS1,59.2,62,"Rs. 26,614",3.98x4.01x2.37
112,0.24,Premium,E,SI2,62.7,57,"Rs. 26,625",3.96x3.98x2.49
113,0.23,Premium,I,VVS2,61.7,57,"Rs. 26,638",3.94 x 3.95 x 2.43
114,0.23,Premium,G,VVS1,61.9,59,"Rs. 26,638",3.95x3.98x2.45
115,0.3,Premium,J,SI1,61.9,58,"Rs. 26,727",4.27 x 4.30 x 2.65
116,0.24,Premium,F,SI1,60.9,58,"Rs. 26,753",4.04x4.05x2.46
117,0.21,Premium,F,VS2,61.4,59,"Rs. 26,794",3.83x3.84x2.36
118,0.2,Premium,E,VS2,60.2,59,"Rs. 26,833",3.81 x 3.80 x 2.29
119,0.2,Premium,E,VS2,60.2,58,"Rs. 26,833",3.85x3.82x2.31
120,0.2,Premium,E,VS2,60.8,59,"Rs. 26,833",3.78x3.80x2.31
121,0.24,Premium,I,VVS2,62,58,"Rs. 26,880",3.99x3.96x2.47
122,0.32,Premium,J,SI2,61.2,57,"Rs. 26,880",4.41 x 4.43 x 2.71
123,0.23,Very Good,I,VS1,60.6,62,"Rs. 26,882",3.94 x 3.96 x 2.39
124,0.23,Premium,I,VVS2,61.4,57,"Rs. 26,906",3.97 x 3.99 x 2.44
125,0.2,Premium,F,VS2,60.3,58,"Rs. 26,939",3.8x3.78x2.29
126,0.21,Premium,H,VVS2,62.2,58,"Rs. 26,950",3.78 x 3.80 x 2.36
127,0.31,Premium,I,SI2,62.7,57,"Rs. 26,993",4.31 x 4.35 x 2.71
128,0.31,Premium,I,SI2,62.4,58,"Rs. 26,993",4.32 x 4.35 x 2.70
129,0.24,Premium,F,SI1,62.1,57,"Rs. 27,007",3.97x3.99x2.47
130,0.21,Very Good,D,VS1,62.3,59,"Rs. 27,061",3.8x3.78x2.36
131,0.3,Premium,I,SI2,62.2,58,"Rs. 27,077",4.26 x 4.29 x 2.66
132,0.23,Premium,I,VVS1,62.7,58,"Rs. 27,077",3.89x3.92x2.45
133,0.23,Premium,I,VVS1,60.7,60,"Rs. 27,077",3.96x3.98x2.41
134,0.2,Premium,E,VS2,60.9,58,"Rs. 27,088",3.75x3.77x2.29
135,0.2,Premium,F,VVS1,62.5,56,"Rs. 27,109",3.74x3.77x2.34
136,0.21,Premium,G,VVS1,60.7,59,"Rs. 27,128",3.83x3.86x2.34
137,0.31,Premium,J,SI2,62,57,"Rs. 27,158",4.33 x 4.35 x 2.69
138,0.21,Premium,G,VVS1,60,55,"Rs. 27,217",3.9x3.88x2.34
139,0.21,Premium,G,VVS1,61.5,55,"Rs. 27,217",3.87x3.84x2.37
140,0.21,Premium,G,VVS1,62.3,58,"Rs. 27,217",3.86x3.84x2.4
141,0.23,Very Good,H,VS2,63.4,58,"Rs. 27,223",3.87 x 3.88 x 2.46
142,0.24,Premium,J,VVS2,60.5,60,"Rs. 27,236",4.07x4.05x2.46
143,0.23,Premium,H,VVS1,62.3,58,"Rs. 27,248",3.94x3.96x2.46
144,0.2,Premium,G,VVS1,60.6,58,"Rs. 27,257",3.78x3.77x2.29
145,0.3,Premium,J,SI1,62.6,57,"Rs. 27,300",4.26x4.28x2.67
146,0.2,Premium,F,VVS1,60.4,61,"Rs. 27,321",3.79x3.76x2.28
147,0.21,Premium,E,VS1,59.9,59,"Rs. 27,328",3.89x3.91x2.33
148,0.3,Premium,I,SI2,61.1,58,"Rs. 27,332",4.30 x 4.33 x 2.64
149,0.2,Premium,D,VS2,59.5,59,"Rs. 27,363",3.85x3.82x2.28
150,0.2,Premium,F,IF,59.9,61,"Rs. 27,385",3.79x3.82x2.28
151,0.23,Premium,I,VS1,60.9,59,"Rs. 27,394",3.93 x 3.95 x 2.40
152,0.21,Premium,G,VVS1,62.3,59,"Rs. 27,395",3.82x3.84x2.39
153,0.23,Premium,J,VVS2,62.3,57,"Rs. 27,419",3.92x3.89x2.44
154,0.2,Premium,H,VVS1,62.5,58,"Rs. 27,427",3.74x3.71x2.33
155,0.23,Premium,H,VVS2,59.4,61,"Rs. 27,443",3.99 x3.96 x2.37
156,0.22,Premium,F,VS2,62.3,56,"Rs. 27,463",3.86 x 3.89 x 2.42
157,0.21,Premium,F,VVS2,61,60,"Rs. 27,484",3.82x3.85x2.34
158,0.22,Premium,E,VS2,59.7,60,"Rs. 27,487",3.96x3.99x2.38
159,0.23,Premium,J,VVS2,61.5,60,"Rs. 27,492",3.93 x 3.95 x 2.42
160,0.23,Very Good,J,VVS2,62.4,56,"Rs. 27,492",3.88 x 3.92 x 2.43
161,0.23,Premium,I,VVS1,60.3,56,"Rs. 27,492",4.01x3.99x2.41
162,0.21,Premium,G,VVS2,60.9,57,"Rs. 27,507",3.85x3.87x2.35
163,0.21,Premium,H,VVS2,62.7,55,"Rs. 27,529",3.81x3.84x2.40
164,0.2,Premium,H,VVS1,60.3,59,"Rs. 27,533",3.82x3.8x2.3
165,0.23,Premium,H,VS2,61.1,60,"Rs. 27,541",3.93 x 3.96 x 2.41
166,0.23,Very Good,G,VS2,59.8,59,"Rs. 27,541",3.98 x 4.00 x 2.38
167,0.21,Premium,F,VVS2,62.4,56,"Rs. 27,551",3.81x3.83x2.39
168,0.23,Premium,G,VS2,62.6,56,"Rs. 27,565",3.94x3.92x2.46
169,0.2,Premium,E,VVS1,59.6,61,"Rs. 27,576",3.80x3.83x2.27
170,0.2,Premium,D,VS1,59.4,59,"Rs. 27,618",3.83x3.82x2.27
171,0.23,Premium,I,VS1,61.9,56,"Rs. 27,638",3.90 x 3.93 x 2.42
172,0.23,Very Good,H,VVS2,63.2,55,"Rs. 27,711",3.89 x 3.90 x 2.46
173,0.21,Premium,E,VVS2,62,58,"Rs. 27,729",3.77x3.80x2.35
174,0.23,Very Good,F,VS1,63.3,58,"Rs. 27,736",3.89x3.92x2.47
175,0.23,Premium,D,SI2,62.6,59,"Rs. 27,736",3.88 x 3.91 x 2.44
176,0.24,Premium,J,VVS2,62.3,56,"Rs. 27,745",4.01x3.98x2.49
177,0.23,Very Good,J,VVS1,62.9,59,"Rs. 27,760",3.86 x 3.89 x 2.44
178,0.23,Premium,I,VVS1,60.4,59,"Rs. 27,760",3.97 x 3.99 x 2.40
179,0.23,Premium,J,VVS1,59.4,60,"Rs. 27,760",3.99 x 4.01 x 2.38
180,0.25,Very Good,I,VVS2,63.4,57,"Rs. 27,761",4 x4.04 x2.55
181,0.22,Premium,E,VS1,61.5,55,"Rs. 27,766",3.94 x 3.91 x 2.41
182,0.21,Premium,G,VVS1,62.6,58,"Rs. 27,774",3.82x3.78x2.38
183,0.21,Premium,G,VVS2,62.6,58,"Rs. 27,774",3.78x3.77x2.36
184,0.21,Premium,H,VVS2,62.2,57,"Rs. 27,774",3.8x3.78x2.36
185,0.24,Premium,I,VS2,61.4,60,"Rs. 27,796",3.99 x 4.01 x 2.46
186,0.24,Premium,F,SI1,59.7,59,"Rs. 27,796",4.05x4.07x2.43
187,0.24,Premium,F,SI1,59.8,59,"Rs. 27,796",4.04x4.07x2.42
188,0.3,Premium,I,SI1,61.7,60,"Rs. 27,873",4.28 x 4.30 x 2.65
189,0.21,Premium,F,VS1,60.4,57,"Rs. 27,885",3.83 x 3.86 x 2.32
190,0.21,Premium,E,VS1,62.8,58,"Rs. 27,885",3.84x3.81x2.4
191,0.21,Premium,F,VS1,61.7,58,"Rs. 27,885",3.88x3.85x2.38
192,0.21,Premium,E,VS1,61.3,57,"Rs. 27,885",3.87x3.85x2.37
193,0.23,Premium,G,VS2,60,62,"Rs. 27,906",4.00x3.98x2.39
194,0.23,Premium,D,SI1,61.1,55,"Rs. 27,906",3.94 x 3.96 x 2.42
