,carat,cut,color,clarity,depth,table,lab,sym,pol,flr,hna,price
375,0.34,Premium,E,VS1,62.1,54,GIA,X,X,N,N,$944 
376,0.41,Premium,G,VS1,61.1,56,GIA,X,X,N,N,"$1,237 "
377,0.53,Premium,G,VVS2,61.7,55,GIA,X,X,N,N,"$2,304 "
378,0.23,Premium,F,VS2,61.4,57,GIA,X,X,N,N,$553 
379,0.27,Premium,F,VVS2,61.6,55,GIA,X,X,N,N,$825 
380,0.43,Premium,H,VS1,61.8,55,GIA,X,X,N,N,"$1,265 "
381,1.05,Premium,F,VVS1,62.4,56,GIA,X,X,N,N,"$12,384 "
382,0.31,Premium,G,VVS1,61.6,56,GIA,X,X,N,N,$906 
383,0.24,Premium,E,VVS1,61.9,56,GIA,X,X,N,N,$805 
384,0.31,Premium,H,VVS1,61.6,55,GIA,X,X,N,N,$827 
385,0.3,Premium,H,VS1,60.9,56,GIA,X,X,N,N,$711 
386,1.03,Premium,H,VS2,61.5,57,GIA,X,X,N,N,"$8,117 "
387,0.23,Premium,D,VVS1,61.4,55,GIA,X,X,N,N,$821 
388,0.53,Premium,H,SI1,61.9,55,GIA,X,X,N,N,"$1,728 "
389,0.34,Premium,G,VS1,61.4,56,GIA,X,X,N,N,$878 
390,1.04,Ideal,G,VS1,61.4,57,AGS,ID,ID,N,Y,"$9,094 "
391,0.51,Premium,E,VVS2,60.8,57,GIA,X,X,N,N,"$2,625 "
392,0.71,Premium,E,VS2,61.5,56,GIA,X,X,N,N,"$3,900 "
393,0.52,Premium,E,VS1,61.5,56,GIA,X,X,N,N,"$2,150 "
394,0.7,Premium,G,VS1,62.2,56,GIA,X,X,N,N,"$3,714 "
395,1.03,Premium,F,VVS2,62.3,56,GIA,X,X,N,N,"$10,891 "
396,0.5,Premium,F,VVS1,60.9,58,GIA,X,X,N,N,"$2,582 "
397,0.23,Premium,E,VS2,61.4,56,GIA,X,X,N,N,$559 
398,0.72,Ideal,E,VVS2,61.6,56,AGS,ID,ID,N,Y,"$4,267 "
399,0.53,Premium,E,VS1,61.6,57,GIA,X,X,N,N,"$2,192 "
400,0.31,Premium,H,IF,61.6,55,GIA,X,X,N,N,$849 
401,0.41,Premium,F,VS2,61.6,55,GIA,X,X,N,N,"$1,221 "
